match_date,host_country,host_city,stadium_name,match_type,match_period,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,winning_team,margin,margin_type,winning_condition,season,season_winner,note
02-04-2023,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",5th Match,Night,Mumbai Indians,Royal Challengers Bengaluru,171/7,172/2,Royal Challengers Bengaluru,8,wickets,22 balls remaining,2023,Chennai Super Kings,
02-04-2023,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4th Match,Day/Night,Rajasthan Royals,Sunrisers Hyderabad,203/5,131/8,Rajasthan Royals,72,runs,,2023,Chennai Super Kings,
01-04-2023,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,2nd Match,Day/Night,Kolkata Knight Riders,Punjab Kings,191/5,146/7,Punjab Kings,7,runs,DLS method,2023,Chennai Super Kings,
01-04-2023,India,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3rd Match,Night,Delhi Capitals,Lucknow Super Giants,193/6,143/9,Lucknow Super Giants,50,runs,,2023,Chennai Super Kings,
31-03-2023,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",1st Match,Night,Chennai Super Kings,Gujarat Titans,178/7,182/5,Gujarat Titans,5,wickets,4 balls remaining,2023,Chennai Super Kings,
29-05-2022,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",Final,Night,Rajasthan Royals,Gujarat Titans,130/9,133/3,Gujarat Titans,7,wickets,11 balls remaining,2022,Gujarat Titans,
27-05-2022,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",Qualifier 2,Night,Royal Challengers Bengaluru,Rajasthan Royals,157/8,161/3,Rajasthan Royals,7,wickets,11 balls remaining,2022,Gujarat Titans,
25-05-2022,India,Kolkata,"Eden Gardens, Kolkata",Eliminator,Night,Royal Challengers Bengaluru,Lucknow Super Giants,207/4,193/6,Royal Challengers Bengaluru,14,runs,,2022,Gujarat Titans,
24-05-2022,India,Kolkata,"Eden Gardens, Kolkata",Qualifier 1,Night,Rajasthan Royals,Gujarat Titans,188/6,191/3,Gujarat Titans,7,wickets,3 balls remaining,2022,Gujarat Titans,
22-05-2022,India,Mumbai,"Wankhede Stadium, Mumbai",70th Match,Night,Punjab Kings,Sunrisers Hyderabad,157/8,160/5,Punjab Kings,5,wickets,29 balls remaining,2022,Gujarat Titans,
21-05-2022,India,Mumbai,"Wankhede Stadium, Mumbai",69th Match,Night,Delhi Capitals,Mumbai Indians,159/7,160/5,Mumbai Indians,5,wickets,5 balls remaining,2022,Gujarat Titans,
